antecedents,consequents,support,confidence,lift
grade_B,"int_rate_bin_Low (8-12%), loan_status_Fully Paid",0.131,0.445,3.038
int_rate_bin_Medium (12-16%),"loan_status_Fully Paid, home_ownership_MORTGAGE, grade_C",0.057,0.194,3.037
int_rate_bin_Low (8-12%),"grade_B, term_ 36 months, dti_bin_Medium (20-30)",0.061,0.209,3.037
int_rate_bin_Low (8-12%),"grade_B, installment_bin_High",0.075,0.254,3.034
grade_B,"dti_bin_Low (10-20), home_ownership_MORTGAGE, int_rate_bin_Low (8-12%)",0.057,0.194,3.033
grade_B,"dti_bin_Low (10-20), int_rate_bin_Low (8-12%), loan_status_Fully Paid",0.058,0.198,3.033
grade_B,"int_rate_bin_Low (8-12%), dti_bin_Very Low (<10)",0.051,0.175,3.031
grade_B,"installment_bin_High, int_rate_bin_Low (8-12%)",0.075,0.255,3.03
int_rate_bin_Low (8-12%),"grade_B, home_ownership_RENT",0.102,0.347,3.028
grade_B,"term_ 36 months, int_rate_bin_Low (8-12%)",0.212,0.722,3.028
grade_B,"term_ 36 months, int_rate_bin_Low (8-12%), dti_bin_Low (10-20)",0.091,0.31,3.026
grade_B,"term_ 36 months, int_rate_bin_Low (8-12%), loan_status_Fully Paid",0.115,0.393,3.026
int_rate_bin_Low (8-12%),"grade_B, term_ 36 months, home_ownership_RENT",0.089,0.304,3.026
int_rate_bin_Low (8-12%),"grade_B, term_ 36 months, installment_bin_High",0.055,0.186,3.025
grade_B,"home_ownership_MORTGAGE, int_rate_bin_Low (8-12%), loan_status_Fully Paid",0.067,0.228,3.024
grade_B,"term_ 36 months, int_rate_bin_Low (8-12%), installment_bin_Medium",0.069,0.234,3.022
int_rate_bin_Low (8-12%),"grade_B, installment_bin_Medium",0.09,0.305,3.022
grade_B,"term_ 36 months, int_rate_bin_Low (8-12%), dti_bin_Low (10-20), loan_status_Fully Paid",0.051,0.174,3.019
"dti_bin_Low (10-20), int_rate_bin_Low (8-12%)","grade_B, term_ 36 months, loan_status_Fully Paid",0.051,0.402,3.019
grade_B,"term_ 36 months, loan_status_Current, int_rate_bin_Low (8-12%)",0.077,0.262,3.018
"home_ownership_MORTGAGE, int_rate_bin_Low (8-12%)","grade_B, loan_status_Fully Paid",0.067,0.454,3.017
int_rate_bin_Low (8-12%),"grade_B, installment_bin_Low, loan_status_Fully Paid",0.051,0.174,3.012
int_rate_bin_Low (8-12%),"grade_B, term_ 36 months, installment_bin_Medium",0.069,0.233,3.01
grade_B,"term_ 36 months, home_ownership_MORTGAGE, int_rate_bin_Low (8-12%), loan_status_Fully Paid",0.056,0.192,3.007
grade_B,"term_ 36 months, home_ownership_MORTGAGE, int_rate_bin_Low (8-12%)",0.098,0.334,3.007
"grade_A, int_rate_bin_Very Low (<8%), loan_status_Fully Paid","term_ 36 months, fico_range_low_bin_High",0.058,0.673,3.006
"term_ 36 months, fico_range_low_bin_High","grade_A, int_rate_bin_Very Low (<8%), loan_status_Fully Paid",0.058,0.261,3.006
"int_rate_bin_Medium (12-16%), last_fico_range_low_bin_Low, fico_range_low_bin_Low",grade_C,0.061,0.863,3.003
int_rate_bin_Medium (12-16%),"sub_grade_C1, grade_C",0.057,0.194,3.003
int_rate_bin_Medium (12-16%),sub_grade_C1,0.057,0.194,3.003
sub_grade_C1,int_rate_bin_Medium (12-16%),0.057,0.879,3.003
grade_C,"int_rate_bin_Medium (12-16%), last_fico_range_low_bin_Low, fico_range_low_bin_Low",0.061,0.211,3.003
int_rate_bin_Low (8-12%),"grade_B, last_fico_range_low_bin_High, loan_status_Fully Paid",0.055,0.187,3.002
"home_ownership_MORTGAGE, int_rate_bin_Medium (12-16%), fico_range_low_bin_Low",grade_C,0.052,0.863,3.001
"int_rate_bin_Very Low (<8%), loan_status_Fully Paid","term_ 36 months, fico_range_low_bin_High",0.058,0.672,3.001
"term_ 36 months, fico_range_low_bin_High","int_rate_bin_Very Low (<8%), loan_status_Fully Paid",0.058,0.261,3.001
grade_C,"home_ownership_MORTGAGE, int_rate_bin_Medium (12-16%), fico_range_low_bin_Low",0.052,0.181,3.001
"int_rate_bin_Medium (12-16%), fico_range_low_bin_Low",grade_C,0.119,0.862,2.999
grade_C,"int_rate_bin_Medium (12-16%), fico_range_low_bin_Low",0.119,0.413,2.999
"term_ 36 months, fico_range_low_bin_High","grade_A, home_ownership_MORTGAGE, int_rate_bin_Very Low (<8%)",0.064,0.286,2.997
"grade_A, home_ownership_MORTGAGE, int_rate_bin_Very Low (<8%)","term_ 36 months, fico_range_low_bin_High",0.064,0.671,2.997
grade_B,"last_fico_range_low_bin_High, int_rate_bin_Low (8-12%), loan_status_Fully Paid",0.055,0.187,2.997
"term_ 36 months, fico_range_low_bin_High","home_ownership_MORTGAGE, int_rate_bin_Very Low (<8%)",0.064,0.286,2.994
"home_ownership_MORTGAGE, int_rate_bin_Very Low (<8%)","term_ 36 months, fico_range_low_bin_High",0.064,0.67,2.994
int_rate_bin_Low (8-12%),"grade_B, last_fico_range_low_bin_Low",0.075,0.255,2.989
grade_C,"int_rate_bin_Medium (12-16%), last_fico_range_low_bin_Medium",0.084,0.291,2.988
"int_rate_bin_Medium (12-16%), last_fico_range_low_bin_Medium",grade_C,0.084,0.859,2.988
int_rate_bin_Medium (12-16%),"fico_range_low_bin_High, grade_C",0.051,0.174,2.987
"fico_range_low_bin_High, grade_C",int_rate_bin_Medium (12-16%),0.051,0.875,2.987
int_rate_bin_Low (8-12%),"grade_B, term_ 36 months, last_fico_range_low_bin_Low",0.066,0.226,2.986
grade_C,"dti_bin_Low (10-20), int_rate_bin_Medium (12-16%), fico_range_low_bin_Low",0.05,0.175,2.986
grade_C,"home_ownership_RENT, int_rate_bin_Medium (12-16%), fico_range_low_bin_Low",0.054,0.187,2.984
int_rate_bin_Medium (12-16%),"last_fico_range_low_bin_High, grade_C",0.061,0.208,2.984
"last_fico_range_low_bin_High, grade_C",int_rate_bin_Medium (12-16%),0.061,0.874,2.984
grade_B,"last_fico_range_low_bin_High, int_rate_bin_Low (8-12%)",0.099,0.336,2.984
"installment_bin_Low, grade_C",int_rate_bin_Medium (12-16%),0.088,0.873,2.98
int_rate_bin_Medium (12-16%),"installment_bin_Low, grade_C",0.088,0.301,2.98
grade_B,"last_fico_range_low_bin_High, home_ownership_MORTGAGE, int_rate_bin_Low (8-12%)",0.052,0.177,2.976
"term_ 36 months, dti_bin_Low (10-20), grade_C",int_rate_bin_Medium (12-16%),0.062,0.871,2.975
"term_ 36 months, last_fico_range_low_bin_Low, grade_C",int_rate_bin_Medium (12-16%),0.074,0.871,2.975
int_rate_bin_Medium (12-16%),"term_ 36 months, last_fico_range_low_bin_Low, grade_C",0.074,0.254,2.975
int_rate_bin_Medium (12-16%),"term_ 36 months, dti_bin_Low (10-20), grade_C",0.062,0.213,2.975
"dti_bin_Medium (20-30), int_rate_bin_Medium (12-16%)",grade_C,0.08,0.855,2.974
grade_C,"dti_bin_Medium (20-30), int_rate_bin_Medium (12-16%)",0.08,0.278,2.974
grade_B,"term_ 36 months, installment_bin_High, int_rate_bin_Low (8-12%)",0.055,0.187,2.973
int_rate_bin_Medium (12-16%),"term_ 36 months, installment_bin_Low, grade_C",0.07,0.239,2.972
int_rate_bin_Low (8-12%),"grade_B, home_ownership_MORTGAGE, loan_status_Fully Paid",0.067,0.227,2.969
"dti_bin_Medium (20-30), int_rate_bin_Medium (12-16%)","term_ 36 months, grade_C",0.051,0.551,2.968
int_rate_bin_Medium (12-16%),"term_ 36 months, home_ownership_MORTGAGE, grade_C",0.066,0.224,2.967
"term_ 36 months, home_ownership_MORTGAGE, grade_C",int_rate_bin_Medium (12-16%),0.066,0.869,2.967
int_rate_bin_Low (8-12%),"grade_B, fico_range_low_bin_Medium",0.08,0.273,2.966
int_rate_bin_Medium (12-16%),"dti_bin_Low (10-20), grade_C",0.099,0.338,2.966
"dti_bin_Low (10-20), grade_C",int_rate_bin_Medium (12-16%),0.099,0.868,2.966
"int_rate_bin_Medium (12-16%), installment_bin_Low",grade_C,0.088,0.853,2.966
int_rate_bin_Low (8-12%),"grade_B, term_ 36 months, home_ownership_MORTGAGE, loan_status_Fully Paid",0.056,0.192,2.966
grade_C,"int_rate_bin_Medium (12-16%), installment_bin_Low",0.088,0.306,2.966
grade_C,"installment_bin_High, int_rate_bin_Medium (12-16%)",0.078,0.272,2.965
"installment_bin_High, int_rate_bin_Medium (12-16%)",grade_C,0.078,0.852,2.965
"int_rate_bin_Medium (12-16%), last_fico_range_low_bin_Medium","term_ 36 months, grade_C",0.054,0.55,2.964
"last_fico_range_low_bin_Low, grade_C",int_rate_bin_Medium (12-16%),0.103,0.868,2.963
int_rate_bin_Medium (12-16%),"last_fico_range_low_bin_Low, grade_C",0.103,0.353,2.963
grade_C,"term_ 36 months, int_rate_bin_Medium (12-16%), fico_range_low_bin_Low",0.089,0.309,2.962
grade_C,"int_rate_bin_Medium (12-16%), last_fico_range_low_bin_Low",0.103,0.36,2.96
"int_rate_bin_Medium (12-16%), last_fico_range_low_bin_Low",grade_C,0.103,0.851,2.96
"term_ 36 months, dti_bin_Medium (20-30), grade_C",int_rate_bin_Medium (12-16%),0.051,0.867,2.96
int_rate_bin_Medium (12-16%),"term_ 36 months, dti_bin_Medium (20-30), grade_C",0.051,0.176,2.96
"term_ 36 months, grade_C",int_rate_bin_Medium (12-16%),0.161,0.866,2.958
int_rate_bin_Medium (12-16%),"term_ 36 months, grade_C",0.161,0.549,2.958
int_rate_bin_Medium (12-16%),"dti_bin_Low (10-20), fico_range_low_bin_Low, grade_C",0.05,0.172,2.957
int_rate_bin_Low (8-12%),"grade_B, loan_status_Fully Paid",0.131,0.444,2.954
int_rate_bin_Medium (12-16%),"home_ownership_MORTGAGE, grade_C",0.117,0.4,2.953
"home_ownership_MORTGAGE, grade_C",int_rate_bin_Medium (12-16%),0.117,0.865,2.953
"term_ 36 months, fico_range_low_bin_High","grade_A, int_rate_bin_Very Low (<8%)",0.111,0.498,2.952
int_rate_bin_Medium (12-16%),"last_fico_range_low_bin_Low, fico_range_low_bin_Low, grade_C",0.061,0.208,2.952
"grade_A, int_rate_bin_Very Low (<8%)","term_ 36 months, fico_range_low_bin_High",0.111,0.66,2.952
int_rate_bin_Medium (12-16%),"term_ 36 months, fico_range_low_bin_Low, grade_C",0.089,0.303,2.951
"installment_bin_Medium, grade_C",int_rate_bin_Medium (12-16%),0.082,0.864,2.95
int_rate_bin_Medium (12-16%),"installment_bin_Medium, grade_C",0.082,0.279,2.95
int_rate_bin_Medium (12-16%),"home_ownership_RENT, term_ 36 months, grade_C",0.076,0.26,2.949
int_rate_bin_Medium (12-16%),"home_ownership_MORTGAGE, fico_range_low_bin_Low, grade_C",0.052,0.178,2.949
int_rate_bin_Low (8-12%),"grade_B, term_ 36 months, loan_status_Fully Paid",0.115,0.393,2.948
grade_C,int_rate_bin_Medium (12-16%),0.248,0.863,2.947
int_rate_bin_Very Low (<8%),"term_ 36 months, fico_range_low_bin_High",0.111,0.659,2.947
int_rate_bin_Medium (12-16%),grade_C,0.248,0.847,2.947
"term_ 36 months, fico_range_low_bin_High",int_rate_bin_Very Low (<8%),0.111,0.498,2.947
int_rate_bin_Low (8-12%),"grade_B, term_ 36 months, fico_range_low_bin_Medium",0.067,0.228,2.946
grade_B,"fico_range_low_bin_High, int_rate_bin_Low (8-12%)",0.092,0.314,2.945
int_rate_bin_Medium (12-16%),"fico_range_low_bin_Low, grade_C",0.119,0.406,2.945
"grade_A, int_rate_bin_Very Low (<8%)","term_ 36 months, fico_range_low_bin_High, loan_status_Fully Paid",0.058,0.345,2.944
grade_C,"home_ownership_MORTGAGE, int_rate_bin_Medium (12-16%)",0.117,0.408,2.944
int_rate_bin_Medium (12-16%),"dti_bin_Medium (20-30), grade_C",0.08,0.273,2.944
grade_B,"fico_range_low_bin_High, home_ownership_MORTGAGE, int_rate_bin_Low (8-12%)",0.05,0.17,2.944
int_rate_bin_Low (8-12%),"grade_B, dti_bin_Low (10-20), loan_status_Fully Paid",0.058,0.198,2.943
int_rate_bin_Very Low (<8%),"term_ 36 months, fico_range_low_bin_High, loan_status_Fully Paid",0.058,0.345,2.939
grade_C,"term_ 36 months, int_rate_bin_Medium (12-16%), installment_bin_Low",0.07,0.243,2.939
int_rate_bin_Medium (12-16%),"home_ownership_RENT, grade_C",0.103,0.353,2.938
int_rate_bin_Medium (12-16%),"home_ownership_RENT, fico_range_low_bin_Low, grade_C",0.054,0.184,2.938
int_rate_bin_Low (8-12%),"grade_B, term_ 36 months, dti_bin_Low (10-20), loan_status_Fully Paid",0.051,0.174,2.937
int_rate_bin_Medium (12-16%),"home_ownership_MORTGAGE, term_ 60 months, grade_C",0.052,0.176,2.936
grade_C,"home_ownership_RENT, int_rate_bin_Medium (12-16%)",0.103,0.359,2.935
sub_grade_B4,int_rate_bin_Low (8-12%),0.053,0.861,2.929
int_rate_bin_Low (8-12%),sub_grade_B4,0.053,0.181,2.929
int_rate_bin_Low (8-12%),"grade_B, sub_grade_B4",0.053,0.181,2.929
int_rate_bin_Medium (12-16%),"term_ 60 months, grade_C",0.087,0.298,2.925
grade_C,"dti_bin_Low (10-20), int_rate_bin_Medium (12-16%)",0.099,0.344,2.925
grade_C,"term_ 36 months, int_rate_bin_Medium (12-16%), last_fico_range_low_bin_Low",0.074,0.259,2.924
int_rate_bin_Medium (12-16%),"fico_range_low_bin_Medium, grade_C",0.078,0.267,2.924
"term_ 36 months, fico_range_low_bin_High","grade_A, loan_status_Fully Paid",0.064,0.286,2.924
"grade_A, loan_status_Fully Paid","term_ 36 months, fico_range_low_bin_High",0.064,0.654,2.924
grade_B,"last_fico_range_low_bin_High, term_ 36 months, int_rate_bin_Low (8-12%)",0.071,0.24,2.922
grade_C,"fico_range_low_bin_High, int_rate_bin_Medium (12-16%)",0.051,0.177,2.92
grade_C,"term_ 36 months, int_rate_bin_Medium (12-16%), last_fico_range_low_bin_Medium",0.054,0.187,2.918
grade_C,"term_ 36 months, dti_bin_Medium (20-30), int_rate_bin_Medium (12-16%)",0.051,0.179,2.913
int_rate_bin_Medium (12-16%),"term_ 36 months, last_fico_range_low_bin_Medium, grade_C",0.054,0.183,2.911
grade_C,"int_rate_bin_Medium (12-16%), installment_bin_Medium",0.082,0.284,2.909
int_rate_bin_Medium (12-16%),"installment_bin_High, grade_C",0.078,0.267,2.906
"term_ 36 months, fico_range_low_bin_High","grade_A, home_ownership_MORTGAGE",0.07,0.312,2.906
"grade_A, home_ownership_MORTGAGE","term_ 36 months, fico_range_low_bin_High",0.07,0.65,2.906
grade_B,"last_fico_range_low_bin_High, fico_range_low_bin_High, int_rate_bin_Low (8-12%)",0.052,0.178,2.901
int_rate_bin_Medium (12-16%),"last_fico_range_low_bin_Medium, grade_C",0.084,0.286,2.9
"fico_range_low_bin_Low, grade_C","int_rate_bin_Medium (12-16%), loan_status_Fully Paid",0.058,0.422,2.899
"last_fico_range_low_bin_High, fico_range_low_bin_High","grade_A, home_ownership_MORTGAGE, int_rate_bin_Very Low (<8%)",0.051,0.276,2.897
"grade_A, home_ownership_MORTGAGE, int_rate_bin_Very Low (<8%)","last_fico_range_low_bin_High, fico_range_low_bin_High",0.051,0.54,2.897
"home_ownership_MORTGAGE, int_rate_bin_Very Low (<8%)","last_fico_range_low_bin_High, fico_range_low_bin_High",0.051,0.539,2.893
grade_C,"home_ownership_RENT, term_ 36 months, int_rate_bin_Medium (12-16%)",0.076,0.264,2.893
"last_fico_range_low_bin_High, fico_range_low_bin_High","home_ownership_MORTGAGE, int_rate_bin_Very Low (<8%)",0.051,0.276,2.893
grade_C,"int_rate_bin_Medium (12-16%), fico_range_low_bin_Medium",0.078,0.272,2.888
"last_fico_range_low_bin_High, term_ 36 months, loan_status_Current",grade_A,0.05,0.553,2.886
grade_A,"last_fico_range_low_bin_High, term_ 36 months, loan_status_Current",0.05,0.263,2.886
grade_C,"term_ 36 months, int_rate_bin_Medium (12-16%)",0.161,0.559,2.884
"home_ownership_MORTGAGE, grade_C","int_rate_bin_Medium (12-16%), loan_status_Fully Paid",0.057,0.419,2.878
grade_C,"last_fico_range_low_bin_High, int_rate_bin_Medium (12-16%)",0.061,0.212,2.87
loan_status_Charged Off,"home_ownership_RENT, last_fico_range_low_bin_Low",0.053,0.45,2.867
"home_ownership_RENT, last_fico_range_low_bin_Low",loan_status_Charged Off,0.053,0.341,2.867
grade_A,"term_ 36 months, fico_range_low_bin_High",0.123,0.641,2.865
"term_ 36 months, fico_range_low_bin_High",grade_A,0.123,0.549,2.865
"grade_A, int_rate_bin_Very Low (<8%)","last_fico_range_low_bin_High, fico_range_low_bin_High, home_ownership_MORTGAGE",0.051,0.305,2.861
"last_fico_range_low_bin_High, fico_range_low_bin_High, home_ownership_MORTGAGE","grade_A, int_rate_bin_Very Low (<8%)",0.051,0.483,2.861
grade_C,"int_rate_bin_Medium (12-16%), fico_range_low_bin_Low, loan_status_Fully Paid",0.058,0.202,2.859
"last_fico_range_low_bin_High, fico_range_low_bin_High, home_ownership_MORTGAGE",int_rate_bin_Very Low (<8%),0.051,0.483,2.856
int_rate_bin_Very Low (<8%),"last_fico_range_low_bin_High, fico_range_low_bin_High, home_ownership_MORTGAGE",0.051,0.305,2.856
grade_C,"term_ 36 months, home_ownership_MORTGAGE, int_rate_bin_Medium (12-16%)",0.066,0.228,2.851
"last_fico_range_low_bin_High, term_ 36 months","grade_A, fico_range_low_bin_High, int_rate_bin_Very Low (<8%)",0.081,0.337,2.848
"grade_A, fico_range_low_bin_High, int_rate_bin_Very Low (<8%)","last_fico_range_low_bin_High, term_ 36 months",0.081,0.687,2.848
"last_fico_range_low_bin_High, term_ 36 months","fico_range_low_bin_High, int_rate_bin_Very Low (<8%)",0.081,0.337,2.847
"fico_range_low_bin_High, int_rate_bin_Very Low (<8%)","last_fico_range_low_bin_High, term_ 36 months",0.081,0.687,2.847
grade_A,"term_ 36 months, fico_range_low_bin_High, loan_status_Fully Paid",0.064,0.334,2.844
grade_C,"term_ 36 months, int_rate_bin_Medium (12-16%), dti_bin_Low (10-20)",0.062,0.217,2.84
"term_ 36 months, fico_range_low_bin_High","grade_A, loan_status_Current",0.055,0.245,2.832
grade_B,"int_rate_bin_Low (8-12%), term_ 36 months, fico_range_low_bin_High",0.059,0.202,2.823
"last_fico_range_low_bin_High, term_ 36 months, home_ownership_MORTGAGE","grade_A, int_rate_bin_Very Low (<8%)",0.058,0.475,2.815
"grade_A, int_rate_bin_Very Low (<8%)","last_fico_range_low_bin_High, term_ 36 months, home_ownership_MORTGAGE",0.058,0.343,2.815
int_rate_bin_Very Low (<8%),"last_fico_range_low_bin_High, term_ 36 months, home_ownership_MORTGAGE",0.058,0.342,2.811
"last_fico_range_low_bin_High, term_ 36 months, home_ownership_MORTGAGE",int_rate_bin_Very Low (<8%),0.058,0.475,2.811
int_rate_bin_Medium (12-16%),"loan_status_Current, grade_C",0.093,0.318,2.807
"last_fico_range_low_bin_High, fico_range_low_bin_High","grade_A, home_ownership_MORTGAGE",0.056,0.301,2.807
"grade_A, home_ownership_MORTGAGE","last_fico_range_low_bin_High, fico_range_low_bin_High",0.056,0.523,2.807
"last_fico_range_low_bin_High, term_ 36 months","fico_range_low_bin_High, grade_A",0.089,0.367,2.795
"fico_range_low_bin_High, grade_A","last_fico_range_low_bin_High, term_ 36 months",0.089,0.675,2.795
grade_C,"home_ownership_MORTGAGE, int_rate_bin_Medium (12-16%), loan_status_Fully Paid",0.057,0.198,2.794
"last_fico_range_low_bin_High, term_ 36 months","grade_A, home_ownership_MORTGAGE, fico_range_low_bin_High",0.051,0.212,2.793
"term_ 36 months, fico_range_low_bin_High","dti_bin_Low (10-20), grade_A",0.055,0.244,2.791
grade_C,"int_rate_bin_Medium (12-16%), loan_status_Fully Paid",0.117,0.406,2.787
"loan_status_Charged Off, fico_range_low_bin_Low",last_fico_range_low_bin_Low,0.061,0.979,2.779
last_fico_range_low_bin_Low,"loan_status_Charged Off, fico_range_low_bin_Low",0.061,0.172,2.779
"grade_A, int_rate_bin_Very Low (<8%)","last_fico_range_low_bin_High, fico_range_low_bin_High",0.087,0.515,2.765
"last_fico_range_low_bin_High, fico_range_low_bin_High","grade_A, int_rate_bin_Very Low (<8%)",0.087,0.467,2.765
last_fico_range_low_bin_Low,"home_ownership_RENT, loan_status_Charged Off",0.053,0.152,2.763
"home_ownership_RENT, loan_status_Charged Off",last_fico_range_low_bin_Low,0.053,0.973,2.763
"last_fico_range_low_bin_High, fico_range_low_bin_High",int_rate_bin_Very Low (<8%),0.087,0.467,2.761
int_rate_bin_Very Low (<8%),"last_fico_range_low_bin_High, fico_range_low_bin_High",0.087,0.515,2.761
"last_fico_range_low_bin_High, fico_range_low_bin_High","term_ 36 months, home_ownership_MORTGAGE, grade_A",0.051,0.275,2.751
"last_fico_range_low_bin_High, fico_range_low_bin_High, home_ownership_MORTGAGE",grade_A,0.056,0.527,2.751
grade_A,"last_fico_range_low_bin_High, fico_range_low_bin_High, home_ownership_MORTGAGE",0.056,0.293,2.751
"last_fico_range_low_bin_High, grade_A, int_rate_bin_Very Low (<8%)","fico_range_low_bin_High, home_ownership_MORTGAGE",0.051,0.478,2.739
"fico_range_low_bin_High, home_ownership_MORTGAGE","last_fico_range_low_bin_High, grade_A, int_rate_bin_Very Low (<8%)",0.051,0.295,2.739
last_fico_range_low_bin_Low,loan_status_Charged Off,0.115,0.325,2.739
loan_status_Charged Off,last_fico_range_low_bin_Low,0.115,0.964,2.739
"last_fico_range_low_bin_High, int_rate_bin_Very Low (<8%)","fico_range_low_bin_High, home_ownership_MORTGAGE",0.051,0.478,2.738
"fico_range_low_bin_High, home_ownership_MORTGAGE","last_fico_range_low_bin_High, int_rate_bin_Very Low (<8%)",0.051,0.295,2.738
last_fico_range_low_bin_Low,"term_ 36 months, loan_status_Charged Off",0.069,0.197,2.733
grade_C,"term_ 36 months, int_rate_bin_Medium (12-16%), loan_status_Fully Paid",0.087,0.303,2.726
"last_fico_range_low_bin_High, fico_range_low_bin_High","term_ 36 months, grade_A, int_rate_bin_Very Low (<8%)",0.081,0.437,2.722
"last_fico_range_low_bin_High, fico_range_low_bin_High","term_ 36 months, int_rate_bin_Very Low (<8%)",0.081,0.437,2.72
"last_fico_range_low_bin_High, term_ 36 months, home_ownership_MORTGAGE",grade_A,0.063,0.519,2.71
grade_A,"last_fico_range_low_bin_High, term_ 36 months, home_ownership_MORTGAGE",0.063,0.33,2.71
"fico_range_low_bin_High, home_ownership_MORTGAGE","last_fico_range_low_bin_High, grade_A",0.056,0.322,2.691
"last_fico_range_low_bin_High, grade_A","fico_range_low_bin_High, home_ownership_MORTGAGE",0.056,0.47,2.691
grade_A,"last_fico_range_low_bin_High, fico_range_low_bin_High",0.095,0.498,2.673
"last_fico_range_low_bin_High, fico_range_low_bin_High",grade_A,0.095,0.512,2.673
"last_fico_range_low_bin_High, fico_range_low_bin_High, home_ownership_MORTGAGE","term_ 36 months, grade_A",0.051,0.481,2.655
"grade_A, int_rate_bin_Very Low (<8%), loan_status_Fully Paid","last_fico_range_low_bin_High, term_ 36 months",0.055,0.638,2.644
"last_fico_range_low_bin_High, term_ 36 months","grade_A, int_rate_bin_Very Low (<8%), loan_status_Fully Paid",0.055,0.229,2.644
"int_rate_bin_Very Low (<8%), loan_status_Fully Paid","last_fico_range_low_bin_High, term_ 36 months",0.055,0.637,2.641
"last_fico_range_low_bin_High, term_ 36 months","int_rate_bin_Very Low (<8%), loan_status_Fully Paid",0.055,0.229,2.641
"fico_range_low_bin_High, home_ownership_MORTGAGE","last_fico_range_low_bin_High, term_ 36 months, grade_A",0.051,0.294,2.626
"last_fico_range_low_bin_High, fico_range_low_bin_High","term_ 36 months, grade_A",0.089,0.475,2.626
fico_range_low_bin_High,"last_fico_range_low_bin_High, grade_A, home_ownership_MORTGAGE, int_rate_bin_Very Low (<8%)",0.051,0.162,2.599
"last_fico_range_low_bin_High, grade_A, home_ownership_MORTGAGE, int_rate_bin_Very Low (<8%)",fico_range_low_bin_High,0.051,0.826,2.599
"last_fico_range_low_bin_High, home_ownership_MORTGAGE, int_rate_bin_Very Low (<8%)",fico_range_low_bin_High,0.051,0.826,2.598
fico_range_low_bin_High,"last_fico_range_low_bin_High, home_ownership_MORTGAGE, int_rate_bin_Very Low (<8%)",0.051,0.162,2.598
"last_fico_range_low_bin_High, term_ 36 months","grade_A, loan_status_Fully Paid",0.061,0.252,2.58
"grade_A, loan_status_Fully Paid","last_fico_range_low_bin_High, term_ 36 months",0.061,0.623,2.58
loan_status_Charged Off,"last_fico_range_low_bin_Low, fico_range_low_bin_Low",0.061,0.51,2.58
"last_fico_range_low_bin_High, term_ 36 months, dti_bin_Low (10-20)",grade_A,0.051,0.493,2.575
grade_A,"last_fico_range_low_bin_High, term_ 36 months, dti_bin_Low (10-20)",0.051,0.266,2.575
"last_fico_range_low_bin_High, grade_A, home_ownership_MORTGAGE",fico_range_low_bin_High,0.056,0.816,2.568
fico_range_low_bin_High,"last_fico_range_low_bin_High, grade_A, home_ownership_MORTGAGE",0.056,0.177,2.568
fico_range_low_bin_High,"last_fico_range_low_bin_High, term_ 36 months, home_ownership_MORTGAGE, grade_A",0.051,0.161,2.55
fico_range_low_bin_High,"last_fico_range_low_bin_High, grade_A, int_rate_bin_Very Low (<8%)",0.087,0.274,2.541
"last_fico_range_low_bin_High, grade_A, int_rate_bin_Very Low (<8%)",fico_range_low_bin_High,0.087,0.808,2.541
"last_fico_range_low_bin_High, int_rate_bin_Very Low (<8%)",fico_range_low_bin_High,0.087,0.808,2.54
fico_range_low_bin_High,"last_fico_range_low_bin_High, int_rate_bin_Very Low (<8%)",0.087,0.274,2.54
fico_range_low_bin_High,"last_fico_range_low_bin_High, term_ 36 months, grade_A, int_rate_bin_Very Low (<8%)",0.081,0.256,2.526
fico_range_low_bin_High,"last_fico_range_low_bin_High, term_ 36 months, int_rate_bin_Very Low (<8%)",0.081,0.256,2.525
"grade_A, home_ownership_MORTGAGE, int_rate_bin_Very Low (<8%)","last_fico_range_low_bin_High, term_ 36 months",0.058,0.607,2.513
"last_fico_range_low_bin_High, term_ 36 months","grade_A, home_ownership_MORTGAGE, int_rate_bin_Very Low (<8%)",0.058,0.24,2.513
"last_fico_range_low_bin_High, term_ 36 months","home_ownership_MORTGAGE, int_rate_bin_Very Low (<8%)",0.058,0.24,2.51
"home_ownership_MORTGAGE, int_rate_bin_Very Low (<8%)","last_fico_range_low_bin_High, term_ 36 months",0.058,0.606,2.51
fico_range_low_bin_High,"last_fico_range_low_bin_High, grade_A",0.095,0.3,2.509
"last_fico_range_low_bin_High, grade_A",fico_range_low_bin_High,0.095,0.798,2.509
fico_range_low_bin_High,"last_fico_range_low_bin_High, term_ 36 months, grade_A",0.089,0.279,2.494
"grade_A, int_rate_bin_Very Low (<8%)","last_fico_range_low_bin_High, term_ 36 months",0.101,0.601,2.489
"last_fico_range_low_bin_High, term_ 36 months","grade_A, int_rate_bin_Very Low (<8%)",0.101,0.42,2.489
int_rate_bin_Very Low (<8%),"last_fico_range_low_bin_High, term_ 36 months",0.101,0.6,2.486
"last_fico_range_low_bin_High, term_ 36 months",int_rate_bin_Very Low (<8%),0.101,0.42,2.486
"grade_A, int_rate_bin_Very Low (<8%)","fico_range_low_bin_High, dti_bin_Low (10-20)",0.053,0.316,2.483
"fico_range_low_bin_High, dti_bin_Low (10-20)","grade_A, int_rate_bin_Very Low (<8%)",0.053,0.419,2.483
"dti_bin_Low (10-20), fico_range_low_bin_High",int_rate_bin_Very Low (<8%),0.053,0.419,2.48
int_rate_bin_Very Low (<8%),"dti_bin_Low (10-20), fico_range_low_bin_High",0.053,0.315,2.48
