antecedents,consequents,support,confidence,lift
"last_fico_range_low_bin_High, grade_A","term_ 36 months, home_ownership_MORTGAGE, int_rate_bin_Very Low (<8%)",0.058,0.484,5.403
"fico_range_low_bin_High, int_rate_bin_Very Low (<8%)","term_ 36 months, home_ownership_MORTGAGE, grade_A",0.064,0.54,5.401
"term_ 36 months, grade_A","int_rate_bin_Very Low (<8%), loan_status_Fully Paid",0.085,0.469,5.398
"int_rate_bin_Very Low (<8%), loan_status_Fully Paid","term_ 36 months, grade_A",0.085,0.977,5.398
"term_ 36 months, fico_range_low_bin_High, grade_A, loan_status_Fully Paid",int_rate_bin_Very Low (<8%),0.058,0.912,5.394
int_rate_bin_Very Low (<8%),"term_ 36 months, fico_range_low_bin_High, grade_A, loan_status_Fully Paid",0.058,0.345,5.394
"last_fico_range_low_bin_High, int_rate_bin_Very Low (<8%)","term_ 36 months, grade_A, loan_status_Fully Paid",0.055,0.514,5.393
"grade_A, loan_status_Fully Paid","last_fico_range_low_bin_High, int_rate_bin_Very Low (<8%)",0.057,0.581,5.393
"last_fico_range_low_bin_High, int_rate_bin_Very Low (<8%)","grade_A, loan_status_Fully Paid",0.057,0.527,5.393
"last_fico_range_low_bin_High, grade_A, fico_range_low_bin_High",int_rate_bin_Very Low (<8%),0.087,0.912,5.392
int_rate_bin_Very Low (<8%),"last_fico_range_low_bin_High, grade_A, fico_range_low_bin_High",0.087,0.514,5.392
"grade_A, home_ownership_MORTGAGE","last_fico_range_low_bin_High, int_rate_bin_Very Low (<8%)",0.062,0.58,5.387
"last_fico_range_low_bin_High, int_rate_bin_Very Low (<8%)","grade_A, home_ownership_MORTGAGE",0.062,0.579,5.387
"term_ 36 months, grade_A","last_fico_range_low_bin_High, int_rate_bin_Very Low (<8%), loan_status_Fully Paid",0.055,0.306,5.38
int_rate_bin_Very Low (<8%),"last_fico_range_low_bin_High, term_ 36 months, grade_A, loan_status_Fully Paid",0.055,0.327,5.377
"last_fico_range_low_bin_High, term_ 36 months, grade_A, loan_status_Fully Paid",int_rate_bin_Very Low (<8%),0.055,0.909,5.377
"term_ 36 months, grade_A","fico_range_low_bin_High, int_rate_bin_Very Low (<8%), loan_status_Fully Paid",0.058,0.322,5.374
"last_fico_range_low_bin_High, int_rate_bin_Very Low (<8%)","term_ 36 months, home_ownership_MORTGAGE, grade_A",0.058,0.537,5.374
int_rate_bin_Very Low (<8%),"term_ 36 months, fico_range_low_bin_High, grade_A",0.111,0.659,5.37
"term_ 36 months, fico_range_low_bin_High, grade_A",int_rate_bin_Very Low (<8%),0.111,0.908,5.37
"last_fico_range_low_bin_High, term_ 36 months, grade_A",int_rate_bin_Very Low (<8%),0.101,0.907,5.366
"grade_A, home_ownership_MORTGAGE, fico_range_low_bin_High",int_rate_bin_Very Low (<8%),0.069,0.907,5.366
int_rate_bin_Very Low (<8%),"grade_A, home_ownership_MORTGAGE, fico_range_low_bin_High",0.069,0.408,5.366
int_rate_bin_Very Low (<8%),"last_fico_range_low_bin_High, term_ 36 months, grade_A",0.101,0.6,5.366
"grade_A, fico_range_low_bin_High, loan_status_Fully Paid",int_rate_bin_Very Low (<8%),0.06,0.906,5.361
int_rate_bin_Very Low (<8%),"grade_A, fico_range_low_bin_High, loan_status_Fully Paid",0.06,0.354,5.361
int_rate_bin_Very Low (<8%),"grade_A, fico_range_low_bin_High, dti_bin_Low (10-20)",0.053,0.315,5.359
"grade_A, fico_range_low_bin_High, dti_bin_Low (10-20)",int_rate_bin_Very Low (<8%),0.053,0.906,5.359
