,antecedents,consequents,support,confidence,lift
417,"last_fico_range_low_bin_High, grade_A","term_ 36 months, int_rate_bin_Very Low (<8%)",0.101,0.848,5.278
27,int_rate_bin_Medium (12-16%),grade_C,0.248,0.847,2.947
269,"home_ownership_MORTGAGE, int_rate_bin_Medium (12-16%)",grade_C,0.117,0.847,2.944
887,"term_ 36 months, int_rate_bin_Medium (12-16%), installment_bin_Low",grade_C,0.07,0.845,2.939
707,"fico_range_low_bin_Low, grade_B","term_ 36 months, int_rate_bin_Low (8-12%)",0.086,0.844,3.539
273,"int_rate_bin_Medium (12-16%), home_ownership_RENT",grade_C,0.103,0.844,2.935
1080,"fico_range_low_bin_High, home_ownership_MORTGAGE, grade_A","term_ 36 months, int_rate_bin_Very Low (<8%)",0.064,0.842,5.24
410,"home_ownership_RENT, grade_A","term_ 36 months, int_rate_bin_Very Low (<8%)",0.052,0.841,5.236
253,"int_rate_bin_Medium (12-16%), dti_bin_Low (10-20)",grade_C,0.099,0.841,2.925
863,"last_fico_range_low_bin_Low, term_ 36 months, int_rate_bin_Medium (12-16%)",grade_C,0.074,0.841,2.924
1057,"last_fico_range_low_bin_High, home_ownership_MORTGAGE, grade_A","term_ 36 months, int_rate_bin_Very Low (<8%)",0.058,0.841,5.233
297,"fico_range_low_bin_High, int_rate_bin_Medium (12-16%)",grade_C,0.051,0.84,2.92
871,"term_ 36 months, int_rate_bin_Medium (12-16%), last_fico_range_low_bin_Medium",grade_C,0.054,0.839,2.918
454,"installment_bin_High, grade_A","term_ 36 months, int_rate_bin_Very Low (<8%)",0.05,0.838,5.219
52,grade_A,"term_ 36 months, int_rate_bin_Very Low (<8%)",0.16,0.838,5.216
830,"term_ 36 months, int_rate_bin_Medium (12-16%), dti_bin_Medium (20-30)",grade_C,0.051,0.838,2.913
377,"dti_bin_Low (10-20), grade_A","term_ 36 months, int_rate_bin_Very Low (<8%)",0.073,0.837,5.212
305,"installment_bin_Medium, int_rate_bin_Medium (12-16%)",grade_C,0.082,0.836,2.909
402,"home_ownership_MORTGAGE, grade_A","term_ 36 months, int_rate_bin_Very Low (<8%)",0.089,0.833,5.185
855,"term_ 36 months, int_rate_bin_Medium (12-16%), home_ownership_RENT",grade_C,0.076,0.832,2.893
293,"int_rate_bin_Medium (12-16%), fico_range_low_bin_Medium",grade_C,0.078,0.83,2.888
245,"term_ 36 months, int_rate_bin_Medium (12-16%)",grade_C,0.161,0.829,2.884
719,"term_ 36 months, fico_range_low_bin_High, int_rate_bin_Low (8-12%)",grade_B,0.059,0.829,2.823
1152,"last_fico_range_low_bin_High, home_ownership_MORTGAGE, grade_A, int_rate_bin_Very Low (<8%)",fico_range_low_bin_High,0.051,0.826,2.599
993,"last_fico_range_low_bin_High, home_ownership_MORTGAGE, int_rate_bin_Very Low (<8%)",fico_range_low_bin_High,0.051,0.826,2.598
1162,"last_fico_range_low_bin_High, home_ownership_MORTGAGE, int_rate_bin_Very Low (<8%)","fico_range_low_bin_High, grade_A",0.051,0.826,6.287
285,"last_fico_range_low_bin_High, int_rate_bin_Medium (12-16%)",grade_C,0.061,0.825,2.87
446,"installment_bin_Medium, grade_A","term_ 36 months, int_rate_bin_Very Low (<8%)",0.055,0.824,5.128
919,"fico_range_low_bin_Low, loan_status_Fully Paid, int_rate_bin_Medium (12-16%)",grade_C,0.058,0.822,2.859
260,"grade_C, loan_status_Current",int_rate_bin_Medium (12-16%),0.093,0.822,2.807
847,"term_ 36 months, home_ownership_MORTGAGE, int_rate_bin_Medium (12-16%)",grade_C,0.066,0.82,2.851
823,"term_ 36 months, int_rate_bin_Medium (12-16%), dti_bin_Low (10-20)",grade_C,0.062,0.817,2.84
619,"last_fico_range_low_bin_High, home_ownership_MORTGAGE, grade_A",fico_range_low_bin_High,0.056,0.816,2.568
730,"grade_B, installment_bin_Low","term_ 36 months, int_rate_bin_Low (8-12%)",0.089,0.815,3.419
1128,"last_fico_range_low_bin_High, term_ 36 months, home_ownership_MORTGAGE, grade_A",fico_range_low_bin_High,0.051,0.811,2.55
731,"int_rate_bin_Low (8-12%), installment_bin_Low","term_ 36 months, grade_B",0.089,0.809,3.42
683,"last_fico_range_low_bin_Low, int_rate_bin_Low (8-12%)","term_ 36 months, grade_B",0.066,0.809,3.418
606,"last_fico_range_low_bin_High, grade_A, int_rate_bin_Very Low (<8%)",fico_range_low_bin_High,0.087,0.808,2.541
359,"last_fico_range_low_bin_High, int_rate_bin_Very Low (<8%)",fico_range_low_bin_High,0.087,0.808,2.54
610,"last_fico_range_low_bin_High, int_rate_bin_Very Low (<8%)","fico_range_low_bin_High, grade_A",0.087,0.807,6.147
386,"loan_status_Current, grade_A","term_ 36 months, int_rate_bin_Very Low (<8%)",0.07,0.805,5.012
911,"loan_status_Fully Paid, int_rate_bin_Medium (12-16%), home_ownership_MORTGAGE",grade_C,0.057,0.803,2.794
1100,"last_fico_range_low_bin_High, term_ 36 months, grade_A, int_rate_bin_Very Low (<8%)",fico_range_low_bin_High,0.081,0.803,2.526
977,"last_fico_range_low_bin_High, term_ 36 months, int_rate_bin_Very Low (<8%)",fico_range_low_bin_High,0.081,0.803,2.525
